chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,label,Class
0.731219316,0.706265694,0.719686239,0.792519744,0.868777339,0.873706522,0.813060953,0.793789168,0.816441503,0.82043289,0.77452648,0.736398889,0,noise
0.570785477,0.593721307,0.676283345,0.830058328,0.978765888,0.99976634,0.875450995,0.73747689,0.648172244,0.608405332,0.578506749,0.55997318,0,noise
0.788148323,0.729293776,0.696921187,0.741868641,0.807935037,0.80643098,0.739891376,0.721716351,0.755868042,0.788751773,0.789028658,0.792355327,0,noise
0.773965461,0.754942778,0.769859806,0.838345203,0.907074669,0.890156833,0.774726034,0.68714033,0.662284902,0.683810627,0.715437468,0.752538014,0,noise
0.827954919,0.823074925,0.839772444,0.887374763,0.921980393,0.883862035,0.759090387,0.65903985,0.621307767,0.64696002,0.705886692,0.777763715,0,noise
0.70814045,0.649014217,0.629676925,0.660118781,0.701824248,0.708169145,0.694438656,0.75715063,0.858919316,0.889806508,0.822826046,0.75026059,0,noise
0.644105553,0.594843476,0.604704976,0.685418985,0.770867199,0.788477985,0.748189426,0.762183264,0.823726393,0.83453874,0.762492954,0.6899503,0,noise
0.487835032,0.426202771,0.439957586,0.52575209,0.62449837,0.673085328,0.703981495,0.824263962,0.978825291,0.989950662,0.812548757,0.609158615,0,noise
0.379285315,0.326089779,0.367086981,0.483853878,0.606622762,0.671352298,0.711659426,0.834715766,0.988481737,0.978333276,0.76106017,0.519268093,0,noise
0.354963219,0.303532176,0.353047865,0.481328818,0.612461538,0.681795331,0.723162958,0.842992821,0.992335777,0.973980409,0.74575756,0.497659964,0,noise
0.686004038,0.628378247,0.632699652,0.714938165,0.81261549,0.843462285,0.823192004,0.870340629,0.961368357,0.972155519,0.865442788,0.75143435,0,noise
0.645394158,0.601869607,0.619357678,0.71704089,0.823951371,0.853050259,0.815326391,0.828749703,0.887220871,0.885469119,0.789081888,0.693695391,0,noise
